Id,Codigo,Excecao,Tipo,Descricao,AliquotaNacionalFederal,AliquotaImportadosFederal,AliquotaEstadual,AliquotaMunicipal,InicioVigencia,FimVigencia,Chave,Versao,Fonte,Vencido
9209E1A8-0182-4EA9-8717-003CCE630742,2917.39.50,NULL,0,Anidrido trimelitico (ac.1,3dioxo-5isobenzofuranocarb.),4.20,6.79,0.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
D6797181-004E-4833-A6C7-00414D2B8123,8467.29.92,NULL,0,Parafusadeiras e rosqueadeiras,c/ motor eletrico incorporado,8.27,18.48,8.80,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
92CFF55D-A2F9-4B1D-A2BA-0046A4095DCC,0302.23.00,NULL,0,Linguados frescos,refrig.exc.files,outs. carnes,etc.,4.20,15.29,7.00,0.00,2016-07-01,2023-03-06,ca7gi3
FC30395B-E546-456D-8987-004CC4E62A47,8708.70.10,NULL,0,Rodas de eixos propulsor.e partes,p/tratores/ dumpers/veiculos automoveis,14.79,21.25,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
6132E846-F923-4A8B-92F9-00512B7AA502,4012.19.00,02,0,Remoldados,para máquinas e tratores agrícolas,6.16,21.95,0.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
01372E75-7D80-4778-8071-0052A07827A9,3911.90.13,NULL,0,Polieteremidas e seus copolimeros,c/carga,formas primar,5.54,8.09,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A
0DB4B0C1-8CCD-4A18-9DA0-0056239E3CAD,2918.29.23,NULL,0,Propilparabeno,4.20,16.91,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
29A86031-FD77-4482-B085-00654376F45D,8544.42.00,0,0,Outs.condutores eletr.munidos pecas conexao,para tensao nao superior a 1000v,16.16,22.38,12.00,0.00,2023-09-20,2023-10-31,0D61CD,23.2.D,IBPT/empresometro.com.br
01730673-FFC5-4229-B635-006C3BFBD232,9022.14.90,NULL,0,Outs.apars.de raios x,p/uso medico,cirurgico,veterinar.,5.54,7.54,18.00,0.00,2016-07-01,2023-03-06,ca7gi3
9CD7F028-0BF8-42F6-8A91-006CC183D818,3003.90.83,NULL,0,Medicamento cont.ketazolam/sulpirida,etc.exc.em doses,13.45,27.73,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
1256FD35-8927-4CC9-B568-006E31004200,3206.41.00,NULL,0,Ultramar e suas preparacoes,13.45,16.14,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
29E57D89-335D-40C4-A751-00797DF4DAFA,2916.14.10,NULL,0,Esteres de metila do acido metacrilico,4.20,9.41,0.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
8795BA3A-2091-49E7-A236-0079DE691B6E,8443.39.90,NULL,0,Outros maqs.e apars.de escritorio,bancario,etc.,15.03,25.01,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A
8CEA5B51-5913-4C98-8874-00870C5F39C7,2924.29.14,NULL,0,Lidocaina e seu cloridrato,4.20,18.48,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
199D1D23-576E-4B09-B72F-008E5D7056CF,8455.10.00,NULL,0,Laminador de metais,de tubo,4.20,10.38,8.80,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
2CE7FE4E-4482-4811-9997-00967D4B6207,3926.20.00,NULL,0,Vestuario e seus acessorios,de plasticos,incl.luvas,8.96,26.21,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A
7052AF78-CE47-43B6-9A04-0096E37C0A4B,8105.30.00,NULL,0,Desperdicios e residuos de cobalto,4.20,11.86,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
78445C47-C8FA-48FC-9A0E-009C0BBC58B8,7607.20.00,NULL,0,Folhas/tiras,de aluminio,c/suporte,esp<=0.2mm,16.07,23.96,18.00,0.00,2016-07-01,2023-03-06,ca7gi3
B1866C4E-5B8A-4246-871F-009CC9669982,3301.29.11,NULL,0,Oleo essencial,de citronela,18.21,32.49,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
804B4B0A-598A-4E75-AA67-00A68FD8498E,2514.00.00,NULL,0,Ardosia incl.desbastada ou cortada em blocos ou placas,4.20,8.32,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
4728EBC5-AC5F-4C9B-8192-00AAC969B2C7,2833.29.70,NULL,0,Sulfato de zinco,13.45,24.54,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
91A1C925-82F1-46EE-9D17-00B28880B534,3823.70.90,NULL,0,Outros alcoois graxos industriais,13.45,16.12,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
8319486C-3620-4492-922B-00B7E17B4A54,3702.41.00,NULL,0,Filmes p/foto cores,sensib.n/impr.l>610mm,c>200m,rolos,16.06,18.45,18.00,0.00,2016-07-01,2023-03-06,ca7gi3
F523ED6E-B7A0-4241-953C-00B8A1EF7B99,117051000,NULL,1,Serviços de biblioteca,0.13,0.15,0.00,0.03,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
ACB1AB4F-B012-4FB3-B66B-00C2F0299FC8,3002.10.24,NULL,0,Concentrado de fator viii,13.45,17.41,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
C38FAC26-BCE8-49AB-90AD-00C68848EE26,8108.30.00,NULL,0,Desperd.resid.de titanio,4.20,6.66,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
D50316E8-159D-4D3F-A5AD-00D5C5443116,2511.10.00,NULL,0,Sulfato de bario natural (baritina),4.20,9.28,7.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
08AC1389-04E3-4B5E-88CA-00EB7F84E1F1,103031300,NULL,1,Serviços de quarto ou de unidades de hospedagem para visitantes,em propriedades partilhadas,0.13,0.15,0.00,0.03,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
16CE5E83-188F-4C1D-B482-00F5484D2D4C,0801.11.00,01,0,Cocos dessecados,acondicionados em embalagens de apresentação,4.20,41.68,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
9466A60E-437C-4F80-B9DF-01003361B9D5,0302.71.00,NULL,0,Tilápias frescas,refrig.exc.files,outs. carnes,etc.,4.20,8.34,18.00,0.00,2016-07-01,2023-03-06,ca7gi3
131C29C9-9733-4D12-9782-01066D0F29C0,3904.10.10,NULL,0,Policloreto de vinila,obt.proc.suspensao,forma primaria,5.54,11.01,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A
E3B2D611-E81D-473F-83E3-0115A4C162F2,4810.39.10,NULL,0,Outs.papeis/cartoes kraft,exceto p/ escrita,.em tiras ou rolos <15cm,12.96,28.75,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A
3A4F4B8C-3E67-41B8-9C66-011A4B3C46B6,6903.20.30,NULL,0,Tubo refratario,de alumina ou alumina com silica>50%,6.29,10.32,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
C74D7E4E-82A9-4A75-8035-011B664AF30D,1302.11.10,NULL,0,Concentrado de palha de papoula,13.45,22.86,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
210A2B56-01E1-4E0E-8AB5-011D01C9912B,5205.13.90,NULL,0,Outs.fios algod>=85%,simpl.fibra n/pent.192.3<=t<232.5d,13.45,30.70,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
DDE486EA-D78F-4155-9DB0-011F10A0CDC4,117012610,NULL,1,Serviços de usuário visitante nacional (roaming nacional),0.13,0.15,0.25,0.02,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
E185EAB4-5334-483B-B807-01230C675726,5106.20.00,NULL,0,Fios de la cardada (conteudo<85%),13.45,19.05,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
C639F063-8D84-4561-B7A0-012D9484C0D1,1104.29.00,0,0,Graos de outs.cereais,descascados,em perolas,etc.,13.45,17.03,18.00,0.00,2024-04-20,2024-05-31,244637
69660B9B-67D7-45A0-B2B1-012D9C8CDA7A,124032000,NULL,1,Serviços de coleta de resíduos de serviços de saúde,0.13,0.15,0.00,0.03,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
,,,,,,,,,,,,,,
(50 rows affected),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Completion time: 2024-05-22T10:07:22.6834865-03:00,,,,,,,,,,,,,,
