id,CFOP,NaturezaOperacao,Descricao,Ativo
CDF8B198-7647-4381-BC8B-57F08006B02B,1124,Industrialização efetuada por outra empresa,Classificam-se neste código as entradas de mercadorias industrializadas por terceiros,compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrial
BCB10338-139F-4601-8E4F-C42DCEEFF40C,1125,Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria,Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas,em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias
3D6235F6-242D-4F4B-875A-BD2F228D31E9,1151,Transferência para industrialização,Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa,para serem utilizadas em processo de industrialização.
DE886904-2B1C-4A2C-9693-BD0584123F22,1152,Transferência para comercialização,Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa,para serem comercializadas.
4DFEBFD1-71BB-47AF-B836-B0CD74880681,1153,Transferência de energia elétrica para distribuição,Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa,para distribuição.
B2CB9FD1-484E-4C18-8BF6-754568F53EAF,1154,Transferência para utilização na prestação de serviço,Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa,para serem utilizadas nas prestações de serviços.
352C92E4-F113-40B0-B2F4-6C55BFC0A8EE,1201,Devolução de venda de produção do estabelecimento,Classificam-se neste código as devoluções de vendas de produtos industrializados pelo estabelecimento,cujas saídas tenham sido classificadas como “Venda de produção do estabelecimento”.
6835AAD8-E7D2-4733-8C19-A6764804C88E,1202,Devolução de venda de mercadoria adquirida ou recebida de terceiros,Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros,que não tenham sido objeto de industrialização no estabelecimento
F9B69A1D-C89B-4F74-8F07-729A53AD433F,1500,ENTRADAS DE MERCADORIAS REMETIDAS COM FIM ESPECÍFICO DE EXPORTAÇÃO E EVENTUAIS DEVOLUÇÕES,NULL,0
0B00C369-E0B0-4463-A6F6-FE7F48342B67,1550,OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO,NULL,0
B2B01193-2248-4810-8FF6-F48BF637EFD1,1551,Compra de bem para o ativo imobilizado,Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento.,1
E2A7B7C5-7B21-415A-9152-0F8E8036023F,1556,Compra de material para uso ou consumo,Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.,0
0F960A68-E061-414D-9D34-D7CDEF6AD30A,1203,Devolução de venda de produção do estabelecimento,destinada à Zona Franca de Manaus ou Áreas de Livre Comércio,Classificam-se neste código as devoluções de vendas de produtos industrializados pelo estabelecimento
225733AD-183A-497D-92C7-E26C8DAE9F54,1204,Devolução de venda de mercadoria adquirida ou recebida de terceiros,destinada à Zona Franca de Manaus ou Áreas de Livre Comércio,Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros
BEE36CC8-645D-44A2-B33D-5B7391440A53,1205,Anulação de valor relativo a serviço de transporte,Classificam-se neste código as anulações correspondentes a valores faturados indevidamente,decorrentes de prestações de serviços de comunicação.
98885721-A8BD-4DBA-BDD2-BCF3CE3C7E0E,1206,Anulação de valor relativo a serviço de transporte,Classificam-se neste código as anulações correspondentes a valores faturados indevidamente,decorrentes de prestações de serviços de transporte.
0EA13A35-C612-4BC7-9E71-CADEC0837E9B,1207,Anulação de valor relativo a serviço de transporte,Classificam-se neste código as anulações correspondentes a valores faturados indevidamente,decorrentes de venda de energia elétrica.
F8105E8B-F4CC-4AC7-AA1C-2F6CBD2C60EA,1208,Devolução de produção do estabelecimento,remetida em transferência,Classificam-se neste código as devoluções de produtos industrializados pelo estabelecimento
FC63B04F-FB7D-4C3E-BE70-5006F07594EF,1209,Devolução de mercadoria adquirida ou recebida de terceiros,remetida em transferência,Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros
5AA5B174-B070-49DD-95FA-9A118619587C,1251,Compra de energia elétrica para distribuição ou comercialização,Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.,0
4C09387A-EF66-4340-8C2B-AD4980A6EA15,1252,Compra de energia elétrica por estabelecimento industrial,Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.,0
A5E5563B-DFDE-4FDB-A673-0F6589C501E0,1253,Compra de energia elétrica por estabelecimento comercial,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.,0
3DB14EF8-7D62-41D4-9062-90156E6C9F7F,1254,Compra de energia elétrica por estabelecimento prestador de serviço de transporte,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.,0
1844F590-7F8F-4953-8779-3D07D180EA62,1255,Compra de energia elétrica por estabelecimento prestador de serviço de comunicação,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.,0
21008DA8-CAC7-4132-933E-7C56A54FC526,1913,Retorno de mercadoria ou bem remetido para demonstração,Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para demonstração.,0
C4DD3D24-5EF0-4793-8066-226B2801040B,1914,Retorno de mercadoria ou bem remetido para exposição ou feira,Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para exposição ou feira.,0
DB8B7AD7-681D-4E73-B2F0-664FF35FA12D,1915,Entrada de mercadoria ou bem recebido para conserto ou reparo,Classificam-se neste código as entradas de mercadorias ou bens recebidos para conserto ou reparo.,0
76CED8D5-49F0-419F-BEEB-550A177FA939,1257,Compra de energia elétrica para consumo por demanda contratada,Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada,que prevalecerá sobre os demais códigos deste subgrupo.
996EAAB9-A950-4505-9885-5DA4B621C462,1300,AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO,NULL,0
F101C935-5543-45A8-B51D-B119A91FEF5D,1301,Aquisição de serviço de comunicação para execução de serviço da mesma natureza,Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.,0
3CC378B6-FA3A-45FC-91F7-CF0D8DAC3B4A,1302,Aquisição de serviço de comunicação por estabelecimento industrial,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.,0
C3A73BDF-BD15-4B96-9378-2F058C31DC4F,1303,Aquisição de serviço de comunicação por estabelecimento comercial,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.,0
ED176F7A-4CB8-46B2-9F5C-6E884DD180F7,1304,Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento prestador de serviço de transporte.,0
,,,,
(50 rows affected),,,,
,,,,
,,,,
Completion time: 2024-05-22T10:05:06.9802116-03:00,,,,
